58
Ma          0.318	0.348	0.318	0.273	0.3	0.318	0.318	0.364	0.318	0.318	0.35	0.3	0.35	0.333	0.3	0.333	0.3	0.3	0.333	0.35	0.35	0.35	0.35	0.381	0.381	0.0	0.05	0.19	0.25	0.25	0.444	0.444	0.417	0.5	0.409	0.409	0.524	0.421	0.474	0.45	0.35	0.3	0.409	0.333	0.333	0.333	0.35	0.316	0.316	0.316	0.316	0.35	0.444	0.389	0.565	0.5	0.316	0.316
Hi          0.286	0.318	0.286	0.238	0.263	0.286	0.286	0.333	0.286	0.286	0.316	0.263	0.316	0.3	0.263	0.3	0.263	0.263	0.3	0.316	0.316	0.316	0.316	0.35	0.35	0.05	0.0	0.238	0.25	0.25	0.375	0.375	0.5	0.455	0.381	0.381	0.5	0.474	0.444	0.5	0.4	0.35	0.409	0.333	0.333	0.333	0.35	0.316	0.316	0.316	0.316	0.35	0.5	0.444	0.545	0.556	0.316	0.316
Pas          0.286	0.318	0.286	0.2	0.222	0.25	0.25	0.286	0.238	0.238	0.278	0.222	0.278	0.263	0.222	0.263	0.222	0.222	0.263	0.35	0.35	0.35	0.35	0.316	0.316	0.19	0.238	0.0	0.35	0.35	0.556	0.556	0.364	0.455	0.381	0.381	0.571	0.474	0.474	0.421	0.45	0.4	0.476	0.429	0.429	0.429	0.45	0.421	0.421	0.421	0.421	0.45	0.471	0.412	0.609	0.556	0.45	0.45
Ta          0.381	0.409	0.381	0.381	0.429	0.381	0.381	0.455	0.435	0.435	0.368	0.316	0.368	0.35	0.316	0.35	0.316	0.316	0.333	0.381	0.381	0.381	0.381	0.4	0.4	0.25	0.25	0.35	0.0	0.0	0.714	0.714	0.7	0.7	0.409	0.35	0.524	0.474	0.474	0.5	0.4	0.35	0.381	0.4	0.4	0.4	0.421	0.353	0.389	0.389	0.389	0.3	0.529	0.444	0.682	0.611	0.263	0.263
Te          0.381	0.409	0.381	0.381	0.429	0.381	0.381	0.455	0.435	0.435	0.368	0.316	0.368	0.35	0.316	0.35	0.316	0.316	0.333	0.381	0.381	0.381	0.381	0.4	0.4	0.25	0.25	0.35	0.0	0.0	0.714	0.714	0.7	0.7	0.409	0.35	0.524	0.474	0.474	0.5	0.4	0.35	0.381	0.4	0.4	0.4	0.421	0.353	0.389	0.389	0.389	0.3	0.529	0.444	0.682	0.611	0.263	0.263
Man          0.667	0.7	0.667	0.556	0.571	0.667	0.667	0.667	0.556	0.556	0.714	0.714	0.714	0.75	0.714	0.75	0.714	0.714	0.75	0.778	0.778	0.778	0.778	0.75	0.75	0.444	0.375	0.556	0.714	0.714	0.0	0.1	0.5	0.455	0.75	0.75	0.75	0.778	0.714	0.778	0.667	0.667	0.6	0.6	0.6	0.6	0.556	0.6	0.556	0.556	0.556	0.667	0.75	0.75	0.4	0.7	0.75	0.75
Can          0.667	0.7	0.667	0.556	0.571	0.667	0.667	0.667	0.556	0.556	0.714	0.714	0.714	0.75	0.714	0.75	0.714	0.714	0.75	0.778	0.778	0.778	0.778	0.75	0.75	0.444	0.375	0.556	0.714	0.714	0.1	0.0	0.5	0.455	0.75	0.75	0.75	0.778	0.714	0.778	0.667	0.667	0.6	0.6	0.6	0.6	0.556	0.6	0.556	0.556	0.556	0.667	0.75	0.75	0.4	0.7	0.75	0.75
Jap          0.545	0.583	0.545	0.455	0.5	0.545	0.583	0.583	0.5	0.5	0.556	0.556	0.556	0.6	0.556	0.6	0.556	0.556	0.556	0.6	0.6	0.6	0.6	0.6	0.6	0.417	0.5	0.364	0.7	0.7	0.5	0.5	0.0	0.182	0.6	0.636	0.75	0.636	0.6	0.545	0.583	0.583	0.615	0.643	0.643	0.643	0.583	0.5	0.583	0.583	0.583	0.692	0.444	0.444	0.667	0.545	0.727	0.727
Kor          0.5	0.545	0.5	0.4	0.444	0.5	0.545	0.545	0.455	0.455	0.5	0.5	0.5	0.556	0.5	0.556	0.5	0.5	0.5	0.556	0.556	0.556	0.556	0.556	0.556	0.5	0.455	0.455	0.7	0.7	0.455	0.455	0.182	0.0	0.556	0.6	0.727	0.727	0.556	0.636	0.667	0.667	0.615	0.643	0.643	0.643	0.583	0.5	0.583	0.583	0.583	0.692	0.556	0.556	0.643	0.636	0.727	0.727
Ar          0.444	0.346	0.407	0.448	0.481	0.483	0.357	0.423	0.414	0.414	0.44	0.444	0.462	0.444	0.407	0.393	0.407	0.407	0.276	0.333	0.333	0.333	0.333	0.37	0.37	0.409	0.381	0.381	0.409	0.409	0.75	0.75	0.6	0.556	0.0	0.25	0.538	0.5	0.421	0.429	0.455	0.409	0.478	0.545	0.545	0.545	0.524	0.5	0.5	0.5	0.5	0.455	0.55	0.476	0.593	0.55	0.429	0.429
Heb          0.4	0.36	0.36	0.464	0.417	0.444	0.37	0.44	0.5	0.5	0.417	0.423	0.44	0.423	0.385	0.37	0.385	0.385	0.379	0.35	0.35	0.35	0.35	0.346	0.346	0.409	0.381	0.381	0.35	0.35	0.75	0.75	0.636	0.6	0.25	0.0	0.5	0.5	0.444	0.45	0.45	0.4	0.5	0.524	0.524	0.524	0.5	0.474	0.474	0.474	0.474	0.4	0.619	0.571	0.63	0.526	0.421	0.421
